country_name,month,year,policy_rate
Australia,1,2020,0.75
Australia,2,2020,0.75
Australia,3,2020,0.25
Australia,4,2020,0.25
Australia,5,2020,0.25
Australia,6,2020,0.25
Australia,7,2020,0.25
Australia,8,2020,0.25
Australia,9,2020,0.25
Australia,10,2020,0.25
Australia,11,2020,0.1
Australia,12,2020,0.1
Australia,1,2021,0.1
Australia,2,2021,0.1
Australia,3,2021,0.1
Australia,4,2021,0.1
Australia,5,2021,0.1
Australia,6,2021,0.1
Australia,7,2021,0.1
Australia,8,2021,0.1
Australia,9,2021,0.1
Australia,10,2021,0.1
Australia,11,2021,0.1
Australia,12,2021,0.1
Australia,1,2022,0.1
Australia,2,2022,0.1
Australia,3,2022,0.1
Australia,4,2022,0.1
Australia,5,2022,0.35
Australia,6,2022,0.85
Australia,7,2022,1.35
Australia,8,2022,1.85
Australia,9,2022,2.35
Australia,10,2022,2.6
Australia,11,2022,2.85
Australia,12,2022,3.1
Australia,1,2023,3.1
Australia,2,2023,3.35
Australia,3,2023,3.6
Australia,4,2023,3.6
Australia,5,2023,3.85
Australia,6,2023,4.1
Australia,7,2023,4.1
Australia,8,2023,4.1
Australia,9,2023,4.1
Australia,10,2023,4.1
Australia,11,2023,4.35
Australia,12,2023,4.35
Australia,1,2024,4.35
Australia,2,2024,4.35
Australia,3,2024,4.35
Australia,4,2024,4.35
Australia,5,2024,4.35
Australia,6,2024,4.35
Australia,7,2024,4.35
Australia,8,2024,4.35
Australia,9,2024,4.35
Australia,10,2024,4.35
Australia,11,2024,4.35
Australia,12,2024,4.35
Australia,1,2025,4.35
Australia,2,2025,4.1
Australia,3,2025,4.1
Australia,4,2025,4.1
Australia,5,2025,3.85
Australia,6,2025,3.85
Australia,7,2025,3.85
Australia,8,2025,3.6
Australia,9,2025,3.6
Australia,10,2025,3.6
Australia,11,2025,3.6
Australia,12,2025,3.6
Australia,1,2026,3.6
Australia,2,2026,3.85
Australia,3,2026,4.1
Australia,4,2026,4.1
Brazil,1,2020,4.5
Brazil,2,2020,4.25
Brazil,3,2020,3.75
Brazil,4,2020,3.75
Brazil,5,2020,3
Brazil,6,2020,2.25
Brazil,7,2020,2.25
Brazil,8,2020,2
Brazil,9,2020,2
Brazil,10,2020,2
Brazil,11,2020,2
Brazil,12,2020,2
Brazil,1,2021,2
Brazil,2,2021,2
Brazil,3,2021,2.75
Brazil,4,2021,2.75
Brazil,5,2021,3.5
Brazil,6,2021,4.25
Brazil,7,2021,4.25
Brazil,8,2021,5.25
Brazil,9,2021,6.25
Brazil,10,2021,7.75
Brazil,11,2021,7.75
Brazil,12,2021,9.25
Brazil,1,2022,9.25
Brazil,2,2022,10.75
