country_name,country_year,unemployment_rate
Australia,2020,5.24562
Australia,2021,6.269927
Australia,2022,4.158626
Australia,2023,3.65678
Australia,2024,4.089266
Australia,2025,4.115572
Australia,2026,4.073245
Germany,2020,3.2
Germany,2021,3.9
Germany,2022,3.3
Germany,2023,3
Germany,2024,3.2
Germany,2025,3.5
Germany,2026,4
Japan,2020,2.4
Japan,2021,3
Japan,2022,2.8
Japan,2023,2.5
Japan,2024,2.5
Japan,2025,2.5
Japan,2026,2.7
United Kingdom,2020,3.9
United Kingdom,2021,5
United Kingdom,2022,3.9
United Kingdom,2023,4
United Kingdom,2024,4.2
United Kingdom,2025,4.4
United Kingdom,2026,4.9
United States,2020,3.6
United States,2021,6.4
United States,2022,4
United States,2023,3.5
United States,2024,3.7
United States,2025,4
United States,2026,4.3
